occupation_id,skill_id,relation,occupation_label,skill_label,skill_type
http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,naval architect,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,http://data.europa.eu/esco/skill/4f060129-8b75-4d58-a8dd-515bd8fef349,essential,financial controller,develop financial statistics reports,skill/competence
http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,optional,financial controller,statistics,knowledge
http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,maintenance and repair engineer,data mining,knowledge
http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,http://data.europa.eu/esco/skill/9effa3d7-c0c4-4583-ad94-b496ba5e5f2c,optional,maintenance and repair engineer,data mining methods,knowledge
http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,maintenance and repair engineer,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,maintenance and repair engineer,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,maintenance and repair engineer,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,market research analyst,statistics,knowledge
http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,market research analyst,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,bioinformatics scientist,statistics,knowledge
http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,optional,bioinformatics scientist,data science,knowledge
http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,essential,IoT developer,machine learning,knowledge
http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,essential,IoT developer,principles of artificial intelligence,knowledge
http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,essential,IoT developer,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/6ce5f7e3-a534-4aa2-ab23-255408ddb53a,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,essential,IoT developer,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,mathematician,statistics,knowledge
http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,optional,mathematician,data science,knowledge
http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,http://data.europa.eu/esco/skill/4f060129-8b75-4d58-a8dd-515bd8fef349,optional,mathematician,develop financial statistics reports,skill/competence
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,solar energy technician,data mining,knowledge
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,solar energy technician,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,solar energy technician,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/75b63949-1b93-4bf2-a777-ccf978dc3e8a,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,solar energy technician,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,electromechanical engineer,data mining,knowledge
http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,electromechanical engineer,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,electromechanical engineer,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,electromechanical engineer,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/7b4744a8-a4e3-4104-9b74-4ec54108af7b,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,essential,microelectronics designer,machine learning,knowledge
http://data.europa.eu/esco/occupation/7b4744a8-a4e3-4104-9b74-4ec54108af7b,http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4,essential,microelectronics designer,artificial neural networks,knowledge
http://data.europa.eu/esco/occupation/7b4744a8-a4e3-4104-9b74-4ec54108af7b,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,essential,microelectronics designer,principles of artificial intelligence,knowledge
http://data.europa.eu/esco/occupation/7ef064b1-aab8-4818-a468-8f17acbfd995,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,hydropower technician,data mining,knowledge
http://data.europa.eu/esco/occupation/7ef064b1-aab8-4818-a468-8f17acbfd995,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,hydropower technician,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/7ef064b1-aab8-4818-a468-8f17acbfd995,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,hydropower technician,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/7ef064b1-aab8-4818-a468-8f17acbfd995,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,hydropower technician,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/810e5e67-acd5-499a-b307-cf5bea330859,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,essential,ICT information and knowledge manager,data mining,knowledge
http://data.europa.eu/esco/occupation/810e5e67-acd5-499a-b307-cf5bea330859,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,ICT information and knowledge manager,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f,http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2,essential,knowledge engineer,principles of artificial intelligence,knowledge
http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,essential,knowledge engineer,data science,knowledge
http://data.europa.eu/esco/occupation/812c217d-32b7-4f6a-9faf-993d3577ac7f,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a,essential,knowledge engineer,natural language processing,knowledge
